id,clause,"etiquettes (parmi A,I,C,N,OTHER — multi autorisé, ex. ""I,C"")",commentaire
F3-001,"Chop the carrots, potatoes, parsnips and/or swede into a uniform size.",,
F3-002,The government also issues birth certificates,,
F3-003,Being elder doesn't imply being 67 year old.,,
F3-004,97 percent from the 2010-2011 academic year -- the first Rutgers budget done after Christie became governor -- to the current 2013-2014.,,
F3-005,A man is standing with two kids is rephrased as a man and two kids standing.,,
F3-006,3 ½ cups finely chopped button mushrooms,,
F3-007,1 teaspoon dried tarragon,,
F3-008,Just because the woman is looking at a river and boats we can't assume she is camping.,,
F3-009,Oil or grease of choice for frying. (Modern Argentines use refined tallow or sunflower seed oil,,
F3-010,The woman either runs or walks.,,
F3-011,Man is a guy,,
F3-012,People are on the street. People tend to walk when they are on the street. The second sentence is a simplification of the first.,,
F3-013,3 cups all-purpose flour,,
F3-014,He attacks McCain for voting against the 2005 energy bill,,
F3-015,"Three women is not the same as three young men, also",,
F3-016,Let it rest for about 30 minutes somewhere lukewarm,,
F3-017,Playing with swings is an activity one associates with children less than twenty years old.,,
F3-018,"Heat up a heavy, deep-sided pan on high heat with a little olive oil.",,
F3-019,3.5 spoon olive oil,,
F3-020,"""The mayor will propose his 2015 budget in September.",,
F3-021,Hearty White Bread,,
F3-022,"If people are looking, people are looking.",,
F3-023,Add the pork steaks to the marinade and leave in room temperature for 30 minutes or a bit longer.,,
F3-024,"If the bottom of the pan is dry, add chicken broth and reduce heat.",,
F3-025,and tomatoes and chicken are different foods.,,
F3-026,"If the child weights 2000 lbs., the child would not be atop his shoulders.",,
F3-027,shoe off means wearing only one shoe,,
F3-028,"We have no idea if this is his 3rd wife in ten years or not, it could be his first or any number of wives.",,
F3-029,People can order and pick up food when they are not hungry.,,
F3-030,Mustard (Optional),,
F3-031,"65 miles per hour in his races, with 23.",,
F3-032,Yet in the heat of a political campaign they have been accused of financing radicalism.,,
F3-033,Serve over steamed rice,,
F3-034,Those savings are then applied to costs created by the law -- especially coverage for the uninsured -- so that the overall law doesn't add to the deficit.,,
F3-035,Being by a chain link fence implies being outside.,,
F3-036,but he made no reference to using it in response to protests.,,
F3-037,"Quite the opposite: The president and former general was calling for disciplined troops to fight on behalf of the government.""",,
F3-038,If nobody has shorts then it cannot be the person in the black shorts.,,
F3-039,because he is being chased by two girls,,
F3-040,A crowded street is a busy street.,,
F3-041,Villagers are people.,,
F3-042,The gymnast could have been older instead of younger. She should also just have been training instead of performing.,,
F3-043,The woman cannot simultaneously be posing in a meadow and a forest.,,
F3-044,"**4 lemons**, quartered.",,
F3-045,3 ft is different than 10 ft,,
F3-046,Cover and chill at least 2 hours.,,
F3-047,but those donations came before the elder Hurt invested in uranium.,,
F3-048,You can not infer he is watching the stars.,,
F3-049,"Finally, despite her implication that the increases stopped after No Child Left Behind, scores actually rose for all age groups in 2008 and for nearly all in 2012, the next two testing periods.""",,
F3-050,"It does not say the age of the girls, they could be older than 5 years old.",,
F3-051,People are humans.  Walking along is a synonym for ambling down.,,
F3-052,"""Trump said Clinton called the Trans-Pacific Partnership the """"gold standard"""" of trade deals.",,
